dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (272),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4732),Normal,28
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1203),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4633),Normal,20
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1832),Normal,17
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2214),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2455),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1024),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3741),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1949),Normal,16
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4412),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (142),Normal,38
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3573),Normal,16
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1601),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2432),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3739),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4698),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2998),Normal,20
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4492),Normal,42
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3885),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1134),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1589),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (890),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3209),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1214),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1560),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3758),Normal,21
