dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1299),Normal,124
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2398),Normal,123
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5012),Normal,132
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3926),Normal,120
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (115),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2681),Normal,133
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4908),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (553),Normal,148
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1538),Normal,124
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1265),Normal,86
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3058),Normal,140
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3814),Normal,151
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2871),Normal,118
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3416),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5029),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4018),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2054),Normal,87
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2076),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2204),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1728),Normal,95
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2466),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4810),Normal,115
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3536),Normal,105
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2531),Normal,118
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1497),Normal,94
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4490),Normal,117
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2686),Normal,128
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2276),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2128),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1686),Normal,124
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2232),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1648),Normal,100
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2235),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1611),Normal,124
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3004),Normal,129
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4890),Normal,102
