dice,iou,hd95,precision,recall,f1,class,stem
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2455)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1024)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3741)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1949)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4412)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (142)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3573)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1601)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2432)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3739)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4698)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2998)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4492)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3885)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1134)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1589)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (890)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3209)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1214)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1560)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3758)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4688)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1299)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2398)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (5012)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3926)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (115)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2681)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4908)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (553)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1538)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1265)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3058)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3814)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2871)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3416)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (5029)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4018)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2054)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2076)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2204)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1728)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2466)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4810)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3536)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2531)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1497)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4490)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2686)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2276)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2128)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1686)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2232)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1648)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2235)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1611)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3004)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4890)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3428)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3192)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3572)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4998)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2243)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2431)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3047)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1202)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4393)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1489)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2307)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4350)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (501)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2710)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4257)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3434)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1687)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4343)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (848)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1221)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3497)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (5059)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1729)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4281)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3075)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4498)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1896)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3493)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2847)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2322)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4027)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2309)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3392)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2003)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1943)
